
----------------------------------------------------------------------------------------------------
	Slot	Prop.	Music	File name
()	17.3	T81	153	+N PMWR King's Kourse Beta.mkd (Oh ok) [r81,FJRoyet]
()	17.4	T81	153	+N PMWR King's Kourse Beta2 (Oh ok) [r81,FJRoyet]

()	18.1	T81	153	+N PMWR King's Kourse {nt} Beta2 (Oh ok) [r81,no thwomps,FJRoyet]
()	18.2	T73	161	+N GBA Lakeside Park v1.1 (Flint+Hman6516) [r73,FJRoyet]
()	18.3	T52	173	+N Lilypad Lake v1.3 (Sheale) [r52,FJRoyet]
()	18.4	T11	125	+N SSBB Mario Circuit v1 (Diego Vapy) [r11]

()	19.1	T11	125	+N SSBB Mario Circuit v1.fix (Diego Vapy) [r11]
()	19.2	T54	159	+N WiiU Mario Kart Stadium RC1.mkd (TheGamingBram) [r54,FJRoyet]
()	19.3	T54	159	+N WiiU Mario Kart Stadium RC2 (TheGamingBram) [r54,Mr.Brian]
()	19.4	T13	121	+N Minecraft Kart v2.1 (KiwiPowerGreen) [r13,FJRoyet]

()	20.1	T12	119	+N Wii Moonview Highway v1 (TL) [r12,edit,fail]
()	20.2	T13	121	+N Mushroom Grove v1.1 (Lovelifeandtpose024) [r13,FJRoyet]
()	20.3	T34	139	+N Oymyakon Acropolis v1 (Toxic Amaranth) [r34]
()	20.4	T34	139	+N Oymyakon Acropolis v1.beta (Toxic Amaranth) [r34]

()	21.1	T31	141	+N Pauline Circuit v0.9b (SquireTurnbolt) [31,m42,2laps,issue=posbug,lag,FJRoyet]
()	21.2	T44	147	+N WiiU Rainbow Road v1.b1 (Squadaloo) [r44]
()	21.3	T54	159	+N Retro Raceway v1.1 (ScyHigh) [r54,FJRoyet]
()	21.4	T44	147	+N Space Odyssey v1.2 (Yoshivert99) [r44,1lap,HackStarz]

()	22.1	T23	129	+N GP Stadium Arena v1 (Diego Vapy) [r23]
()	22.2	T12	119	+N GBA Sunset Wilds v1.1 (Flint) [r12,FJRoyet]
()	22.3	T21	125	+N WiiU Sunshine Airport Beta1 (Diego Vapy) [r21,2laps]
()	22.4	T21	125	+N WiiU Sunshine Airport Beta2 (Diego Vapy) [r21,2laps,OrangeYoshi]

()	23.1	T53	151	+N Thump Bump Forest v1 (SquireTurnbolt) [r53]
()	23.2	T53	151	+N Thump Bump Forest v1.1 (SquireTurnbolt) [r53]
()	23.3	T53	151	+N Thump Bump Forest v1.2 (SquireTurnbolt) [r53]
()	23.4	T72	155	+N Tilted Altar v1 (JimmyKaz) [r72,lag]

()	24.1	T31	135	+N WiiU Toad Harbor RC3 (TheGamingBram) [31+71,FJRoyet]
()	24.2	T61	157	+N SNES Vanilla Lake 1 v1.1 (SquireTurnbolt) [r61,5laps]
()	24.3	T72	155	+N VVVVVV Circuit 3 v1.mkd (TheZACAtac) [r72,FJRoyet]
()	24.4	T72	155	+N VVVVVV Circuit 3 {C} v1.1 [r72,Custom Item Boxes,FJRoyet]

()	25.1	T72	155	+N VVVVVV Circuit 3 {N} v1.1 [r72,Normal Item Boxes,FJRoyet]
()	25.2	T52	173	+N N64 Yoshi Valley Beta3.1.mkd (zilly) [r52,lex,Diego Vapy,FJRoyet]

----------------------------------------------------------------------------------------------------
